"Var_1","Var_2","Var_3","Var_4","Var_5","CLUSTER"
2,2,1,3,6,1
1,2,1,4,5,1
2,2,2,3,5,1
2,2,2,4,4,1
2,2,8,2,4,3
1,2,7,2,3,3
3,2,6,3,6,3
1,2,8,2,2,3
1,2,7,1,2,3
3,1,7,4,3,3
2,3,4,3,4,2
2,2,1,3,6,1
2,2,2,4,4,1
1,2,1,4,5,1
2,3,4,3,4,2
1,2,1,3,5,1
2,3,3,3,4,2
2,1,5,4,3,3
2,3,4,3,4,2
1,2,5,1,5,3
2,2,4,3,4,2
2,3,6,3,3,3
2,3,2,4,4,1
2,1,7,3,3,3
2,3,3,3,4,2
2,2,2,4,5,1
2,2,4,3,5,2
1,2,8,2,2,3
2,2,3,3,5,2
2,3,4,3,4,2
2,3,4,3,4,2
3,2,4,3,4,2
2,2,4,3,4,2
2,3,4,3,4,2
2,2,2,3,5,1
2,2,2,3,5,1
2,2,4,3,4,2
2,3,5,3,3,3
1,1,6,3,3,3
3,2,4,3,4,2
2,2,1,3,5,1
3,2,3,3,5,2
2,3,6,1,5,3
3,2,3,3,5,2
3,2,3,3,5,2
2,2,2,3,5,1
3,2,3,3,4,2
2,2,7,2,4,3
2,3,4,3,4,2
2,2,2,3,5,1
3,2,4,3,5,2
2,3,3,4,4,1
1,2,1,3,5,1
2,1,9,4,1,3
1,2,1,4,5,1
2,2,2,4,5,1
1,1,7,3,2,3
1,2,6,1,6,3
1,2,2,4,5,1
2,1,8,3,2,3
1,2,6,3,2,3
3,2,4,3,4,2
2,3,3,3,4,2
1,1,7,2,3,3
2,2,2,4,4,1
3,2,4,3,4,2
2,1,7,2,6,3
3,2,9,3,3,3
2,3,3,3,4,2
2,2,6,2,4,3
1,2,8,2,2,3
2,2,4,3,4,2
2,2,1,3,6,1
2,2,8,2,4,3
2,2,2,4,5,1
3,2,4,3,5,2
2,2,1,3,5,1
3,3,3,3,5,2
2,1,9,3,2,3
3,2,3,3,4,2
2,3,3,3,4,2
3,2,3,3,4,2
2,2,8,3,1,3
2,3,3,3,5,2
1,2,8,3,1,3
2,3,5,3,4,3
1,2,3,3,5,1
1,1,7,3,3,3
3,3,3,3,4,2
3,1,7,3,5,3
2,2,2,3,5,1
2,2,2,3,5,1
1,2,7,2,2,3
2,2,4,3,4,2
2,3,6,2,4,3
1,3,1,4,5,1
2,2,2,4,5,1
2,3,4,3,5,2
3,2,3,3,5,2
1,1,8,2,3,3
2,2,7,4,1,3
1,1,8,3,2,3
2,1,8,3,3,3
2,1,8,3,3,3
2,2,7,4,2,3
2,2,1,3,5,1
3,2,6,3,4,3
2,2,4,3,4,2
2,2,2,4,4,1
3,2,4,3,4,2
2,2,1,3,5,1
1,2,1,3,6,1
2,2,2,3,5,1
2,2,2,4,4,1
2,2,2,4,5,1
1,1,6,3,2,3
2,2,4,3,4,2
2,2,1,3,5,1
2,2,5,2,4,3
1,2,2,3,5,1
1,2,1,3,6,1
3,2,7,3,4,3
1,2,7,2,2,3
3,2,3,3,4,2
3,2,3,3,4,2
2,2,2,3,5,1
2,3,4,3,4,2
1,2,7,3,2,3
1,2,2,3,5,1
1,2,2,3,6,1
2,2,2,3,5,1
2,3,3,3,4,2
3,3,6,2,5,3
2,2,8,2,4,3
1,3,2,4,5,1
2,3,4,3,4,2
2,2,7,3,3,3
2,3,4,3,5,2
2,2,1,3,5,1
2,2,2,4,5,1
2,3,3,3,4,2
2,2,1,3,5,1
3,2,4,3,4,2
2,3,3,3,5,2
1,3,1,4,4,1
1,2,2,3,5,1
2,3,4,3,4,2
2,1,6,4,2,3
3,2,3,3,4,2
2,2,1,3,6,1
1,3,8,3,1,999
2,2,8,3,4,999
2,1,3,3,4,999
3,1,5,4,2,999
2,3,7,3,5,999
2,3,8,3,3,999
3,3,7,1,3,999
2,2,8,4,1,999
