"Var_1","Var_2","Var_3","Var_4","Var_5","CLUSTER"
1,1,3,3,5,2
1,1,3,3,6,2
4,3,6,2,2,3
3,9,6,4,4,3
3,6,6,3,3,3
2,4,2,3,4,2
1,5,2,5,4,1
4,5,6,2,2,3
2,7,7,4,4,3
1,4,2,5,4,1
3,5,6,3,3,3
2,7,8,4,3,3
1,5,2,5,4,1
1,4,2,5,4,1
4,5,5,2,3,3
3,8,7,4,4,3
1,5,2,5,4,1
1,5,2,5,4,1
1,4,2,5,4,1
2,2,2,3,5,2
4,4,6,1,2,3
1,4,2,5,4,1
2,3,2,3,4,2
4,4,7,2,2,3
2,8,7,3,3,3
1,1,3,3,5,2
1,4,2,5,4,1
2,4,2,2,6,2
4,6,6,2,2,3
1,4,2,1,5,2
3,9,5,4,4,3
1,4,1,3,4,2
3,2,8,2,2,3
1,3,2,2,5,2
1,4,2,5,4,1
2,4,2,4,4,2
1,4,2,5,4,1
3,6,7,2,2,3
3,4,8,3,3,3
4,3,6,3,3,3
3,8,6,4,4,3
3,8,7,3,3,3
1,4,2,5,4,1
1,4,2,5,4,1
3,5,1,3,6,2
1,2,3,2,5,2
3,8,7,3,3,3
4,3,7,1,1,3
1,5,2,5,4,1
1,5,2,5,4,1
3,5,7,2,2,3
4,4,6,3,3,3
1,5,2,5,4,1
2,3,2,4,4,2
1,2,2,2,5,2
2,3,2,2,6,2
4,7,6,2,3,3
1,5,2,5,4,1
1,1,3,3,5,2
1,5,2,5,4,1
3,4,1,3,6,2
2,3,2,3,4,2
3,6,8,1,1,3
2,5,8,2,1,3
1,5,2,5,4,1
1,5,1,1,6,2
2,5,8,4,3,3
1,5,2,5,4,1
1,4,2,5,4,1
2,4,1,3,5,2
4,6,6,2,3,3
2,1,3,3,6,2
3,7,6,3,3,3
1,5,2,5,4,1
2,6,1,2,6,2
1,5,2,5,4,1
2,3,2,4,5,2
2,1,3,4,5,2
3,8,7,3,3,3
3,9,6,3,4,3
1,5,1,2,4,2
1,5,2,5,4,1
3,7,6,3,3,3
1,5,2,5,4,1
2,5,1,3,4,2
4,5,6,2,2,3
2,6,8,4,3,3
1,5,2,5,4,1
1,4,2,5,4,1
1,4,2,5,4,1
1,5,1,2,4,2
3,9,5,4,4,3
4,4,7,2,2,3
2,5,1,3,6,2
1,5,2,5,4,1
1,2,3,2,3,2
4,7,6,2,2,3
1,1,3,3,5,2
2,4,2,4,4,2
1,4,2,5,4,1
1,5,2,5,4,1
1,5,2,5,4,1
1,5,2,5,4,1
2,4,1,3,4,2
3,4,7,3,3,3
3,6,6,2,2,3
1,2,3,2,5,2
1,5,2,5,4,1
1,5,2,5,4,1
1,4,2,5,4,1
1,3,2,3,5,2
3,7,6,4,4,3
2,1,3,4,5,2
1,4,2,5,4,1
3,6,6,3,3,3
3,5,8,3,2,3
1,4,1,2,3,2
1,5,2,5,4,1
1,5,2,5,4,1
1,2,3,3,5,2
3,5,7,3,3,3
1,5,2,5,4,1
1,4,2,5,4,1
3,4,1,4,5,2
2,8,6,5,5,3
3,7,6,3,3,3
1,4,2,5,4,1
1,5,2,5,4,1
3,5,7,4,3,3
1,3,2,3,4,2
1,4,2,5,4,1
1,4,2,5,4,1
2,3,2,5,3,2
1,5,2,5,4,1
1,3,2,3,4,2
2,8,7,4,4,3
2,4,2,2,5,2
1,5,1,3,3,2
3,5,7,4,3,3
1,4,2,5,4,1
2,4,2,4,5,2
1,4,2,5,4,1
1,5,2,5,4,1
2,6,1,3,5,2
1,5,1,2,4,2
1,5,2,5,4,1
2,5,1,2,6,2
1,3,2,3,4,2
4,5,6,4,4,3
1,1,3,3,6,2
1,5,5,1,4,999
2,9,2,4,6,999
2,8,8,1,5,999
4,4,4,1,5,999
3,2,4,1,2,999
3,3,2,1,4,999
3,6,7,5,4,999
4,3,3,2,3,999
