"Var_1","Var_2","Var_3","Var_4","Var_5","CLUSTER"
3,2,2,4,2,3
3,2,5,3,2,1
3,2,2,4,1,3
2,2,5,4,3,2
1,2,7,4,4,2
2,2,1,3,2,3
2,1,4,2,2,1
2,2,6,4,4,2
2,2,7,3,4,2
3,2,2,5,2,3
2,2,3,6,4,2
3,2,3,5,2,3
3,2,2,5,2,3
3,1,3,3,1,1
2,2,5,5,4,2
2,1,5,4,3,2
2,2,6,4,4,2
1,2,5,3,2,2
3,1,3,2,1,1
3,2,4,3,3,1
3,2,3,5,2,3
2,1,5,2,2,1
3,2,4,2,2,1
3,2,3,4,2,3
2,2,7,3,4,2
2,2,6,4,4,2
3,2,3,4,2,3
3,2,2,4,2,3
3,2,2,4,2,3
3,2,2,4,2,3
2,2,8,3,4,2
1,2,7,4,4,2
2,2,6,3,2,1
3,2,4,3,2,1
2,1,3,2,1,1
2,1,2,1,1,1
2,2,8,2,4,2
2,1,4,2,2,1
2,2,1,3,1,3
3,1,3,2,2,1
2,2,7,4,5,2
2,2,4,2,2,1
2,2,6,4,4,2
3,1,3,2,1,1
2,2,6,3,4,2
3,2,2,4,1,3
3,1,5,4,4,2
3,2,2,4,2,3
3,2,3,5,2,3
2,1,1,1,1,1
3,2,4,3,2,1
2,2,4,2,3,1
2,2,5,5,4,2
2,2,4,5,4,2
1,2,7,4,4,2
2,1,3,2,1,1
2,1,6,4,3,2
2,2,7,3,4,2
3,1,3,3,1,1
3,2,2,4,2,3
3,2,3,4,2,3
3,2,2,5,2,3
3,2,2,5,2,3
3,1,5,4,4,2
2,1,3,2,2,1
2,2,4,5,2,2
3,2,2,5,3,3
3,2,3,5,2,3
2,1,4,2,2,1
3,1,2,2,1,1
3,2,3,5,2,3
2,1,1,2,2,1
3,1,3,1,2,1
3,2,2,4,2,3
3,2,2,5,2,3
2,1,3,1,2,1
2,2,6,5,4,2
2,2,5,4,3,2
2,1,4,2,2,1
3,2,2,4,2,3
3,2,4,3,2,1
1,2,6,4,4,2
2,2,5,3,3,1
2,1,3,1,1,1
2,1,4,2,2,1
2,1,7,4,4,2
3,2,2,4,2,3
3,2,5,3,3,2
3,2,2,4,2,3
3,2,4,1,2,1
1,2,8,3,5,2
3,2,3,4,2,3
2,2,4,4,3,2
3,2,3,5,3,3
1,2,7,5,5,2
3,2,2,4,2,3
2,1,4,2,2,1
2,2,4,6,4,2
3,2,4,3,2,1
1,2,6,4,4,2
3,2,2,5,2,3
3,1,3,2,2,1
1,2,7,4,4,2
3,2,4,3,2,1
2,2,6,4,4,2
2,2,4,2,3,1
1,2,8,2,4,2
3,2,2,4,2,3
3,2,2,4,2,3
3,2,3,3,2,1
3,2,2,5,2,3
3,2,1,4,1,3
3,2,2,4,2,3
2,2,5,4,3,2
2,2,5,5,4,2
3,2,2,4,2,3
3,2,1,4,2,3
2,2,7,3,4,2
2,2,5,2,2,1
2,1,3,2,2,1
2,1,6,3,4,2
2,2,7,3,5,2
3,1,3,2,2,1
1,2,8,3,4,2
3,1,3,2,2,1
3,1,5,4,3,2
3,2,2,4,2,3
3,2,3,3,1,1
2,2,7,3,4,2
3,2,3,4,2,3
3,2,4,3,2,1
3,2,2,4,2,3
3,1,3,3,1,1
3,2,3,5,2,3
3,2,2,4,1,3
3,2,3,4,2,3
1,2,6,4,4,2
2,2,8,4,5,2
3,1,2,3,2,1
3,2,2,4,2,3
3,1,4,2,1,1
3,1,3,2,2,1
3,1,3,4,2,1
2,2,6,4,4,2
3,2,3,4,2,3
2,1,5,5,3,2
3,2,3,4,2,3
3,2,3,4,2,3
3,2,4,5,2,3
2,1,4,1,2,1
3,1,8,5,2,999
3,1,8,5,2,999
3,1,8,5,2,999
3,1,8,5,2,999
3,1,8,5,2,999
3,1,8,5,2,999
3,1,8,5,2,999
3,1,8,5,2,999
